id,query_id,order_id,channel_key,channel_id,server_id,pay_type,pay_user,pay_ip,pay_status,card_no,card_pwd,post_time,last_time,post_amount,pay_amount,pay_gold,extra,remark,open_id,count,player_name,player_create_time,charge_type,charge_id,payType,channel_sub_key,sdk_name,vip_level,f1,f2,f3,f4,f5
7662032,2022123123595622787131C2,XYC31023967449877,daimiao_android_dfzj,774,27104,31,28420603942,49.234.239.41,4,,,2023-01-01 00:00:12,2023-01-01 00:00:12,1,1,10,0,SUCCESS,0daimiao67_820817,3,瑟蕾斯艾薇,2022-12-28 12:57:20,0,18597,,,,10,0,,,,
7662033,XY101024112299099,XY101024112299099,daimiao_appstore_xingyun,665,27133,32,28451013059,114.132.204.175,4,,,2023-01-01 00:00:24,2023-01-01 00:00:24,1,1,10,0,SUCCESS,0daimiao67_827687,4,至尊无赖,2022-12-29 20:45:48,18,18482,,,,8,0,,,,
7662034,2023010100002410879799B8,XY101024242090052,daimiao_android_xingyun,664,22030,31,23100129470,42.192.157.185,4,,,2023-01-01 00:00:33,2023-01-01 00:00:33,1,1,10,0,SUCCESS,0daimiao67_613245,100,最初,2022-11-15 16:13:09,0,18568,,,,16,0,,,,
7662035,XY101024049455347,XY101024049455347,daimiao_appstore_dfzj,775,27457,32,28790751399,114.132.204.175,4,,,2023-01-01 00:00:33,2023-01-01 00:00:33,6,6,60,0,SUCCESS,0daimiao67_835276,6,贤者,2022-12-31 19:58:46,0,18439,,,,8,0,,,,
7662036,2023010100002449126004CB,XY101024246867296,hnyzf_android_ksws3,891,22928,31,24041750531,49.234.100.55,4,,,2023-01-01 00:00:37,2023-01-01 00:00:37,1,1,10,0,SUCCESS,0hnyzf124_16033904,211,丶悠悠,2022-11-19 10:11:06,18,18482,,,,17,0,,,,
7662037,202301010000237820474677,XY101024240033639,daimiao_android_ksws34,877,23270,31,24400364122,42.192.157.185,4,,,2023-01-01 00:00:39,2023-01-01 00:00:39,1,1,10,0,SUCCESS,0daimiao67_671863,12,花落,2022-11-24 19:28:52,0,18539,,,,14,0,,,,
7662038,202301010000267160486BE1,XY101024268575372,daimiao_android_dltx,494,22589,31,23686283269,49.234.239.41,4,,,2023-01-01 00:00:39,2023-01-01 00:00:39,1,1,10,0,SUCCESS,0daimiao67_635289,79,印度丶阿三,2022-11-19 12:12:25,0,18568,,,,15,0,,,,
7662039,2023010100002862542483CF,XY101024287483912,mglwan_android_xin14,756,26001,31,27264024621,175.24.118.177,4,,,2023-01-01 00:00:40,2023-01-01 00:00:40,1,1,10,0,SUCCESS,0mglwan78_4495008,5,︶￣夏兮颜℡,2022-12-18 14:31:20,18,18482,,,,11,0,,,,
7662040,20230101000026004417911D,XY101024261392123,daimiao_android_dltx,494,27016,31,28328329511,42.192.157.185,4,,,2023-01-01 00:00:41,2023-01-01 00:00:41,30,30,300,0,SUCCESS,0daimiao67_829748,10,旺撕充,2022-12-30 15:09:10,0,18493,,,,9,0,,,,
7662041,202301010000307895227DE8,XY101024309405748,daimiao_android_xingyun,664,21242,31,22273851606,49.234.100.55,4,,,2023-01-01 00:00:43,2023-01-01 00:00:43,1,1,10,0,SUCCESS,0daimiao67_554294,106,红色夭夭,2022-11-05 17:25:11,0,18568,,,,17,0,,,,
